times,n,Tpara,Tperp
1592430224.720501,2.5998843,147.05794,127.65414
1592434701.684109,1.082393,506.6927,420.80038
1592432108.897295,0.88155675,278.53653,291.6354
1592432169.1981618,1.2474294,343.62546,285.34787
1592426302.014579,1.0812753,358.52097,397.7314
1592428494.895859,0.6855815,856.78735,704.0862
1592429336.257857,1.7461122,295.46713,234.78804
1592429608.661731,0.9957398,403.09818,440.85458
1592432078.5968692,0.93490756,339.10565,323.93158
1592434228.727398,2.6051893,71.8033,93.9855
1592432936.309058,1.1600455,256.80225,270.87427
1592427643.7837272,1.7760607,231.46669,179.86778
1592426437.916519,0.93936753,575.33606,654.649
1592430451.3737311,1.0680448,316.5494,234.66542
1592431028.281941,1.2559266,266.04037,184.22145
1592427132.7264378,0.76364017,474.05075,364.50714
1592426919.8734,1.0673245,503.86877,529.38385
1592431094.882879,1.2172114,423.6136,459.58865
1592429703.9130838,0.8685894,416.2518,539.9412
1592433078.661076,0.97422975,237.09218,295.12622
1592432308.100137,1.2657146,203.96585,225.79991
1592427918.737632,0.73632735,691.5072,657.58405
1592433020.0102358,1.0165478,277.42328,418.8618
1592429148.455178,1.2204351,382.78415,327.8325
1592426195.213065,0.9302639,519.19934,478.54865
1592429233.056376,1.6990798,300.30182,253.46393
1592432761.556572,3.81586,88.44262,81.11117
1592427301.3288488,1.1574569,533.9168,471.4741
1592433134.0118558,5.6366596,98.425514,60.89285
1592426352.265306,1.4368012,345.47162,303.3416
1592434499.181244,5.6328244,109.57365,71.12413
1592430754.228042,1.1760223,405.99353,343.52747
1592434507.131358,4.9964886,121.25387,75.58242
1592426726.0706291,1.247072,384.2301,381.6093
1592433784.721098,1.2270907,399.84155,402.99402
1592428098.1402152,0.6770558,1045.8514,973.2563
1592430684.027033,1.3172138,392.41843,385.7168
1592427329.3792489,1.0701178,448.62698,427.3845
1592431348.6864908,5.39872,101.23327,72.85626
1592429520.460478,1.8711387,128.53658,125.73516
